TXNAME,GENEID
TRINITY_DN6009_c1_g1_i3,TRINITY_DN6009_c1_g1_i3
TRINITY_DN6096_c0_g1_i3,TRINITY_DN6096_c0_g1_i3
TRINITY_DN6092_c0_g4_i5,TRINITY_DN6092_c0_g4_i5
TRINITY_DN6092_c0_g5_i2,TRINITY_DN6092_c0_g5_i2
TRINITY_DN6092_c0_g6_i1,TRINITY_DN6092_c0_g6_i1
TRINITY_DN6092_c0_g1_i1,TRINITY_DN6092_c0_g1_i1
TRINITY_DN6092_c1_g1_i1,TRINITY_DN6092_c1_g1_i1
TRINITY_DN6092_c2_g1_i1,TRINITY_DN6092_c2_g1_i1
TRINITY_DN6081_c3_g1_i1,TRINITY_DN6081_c3_g1_i1
TRINITY_DN6081_c1_g1_i1,TRINITY_DN6081_c1_g1_i1
TRINITY_DN6081_c2_g1_i1,TRINITY_DN6081_c2_g1_i1
TRINITY_DN6081_c0_g1_i1,TRINITY_DN6081_c0_g1_i1
TRINITY_DN6082_c0_g1_i1,TRINITY_DN6082_c0_g1_i1
TRINITY_DN6023_c0_g1_i1,TRINITY_DN6023_c0_g1_i1
TRINITY_DN6070_c0_g1_i1,TRINITY_DN6070_c0_g1_i1
TRINITY_DN6050_c0_g1_i2,TRINITY_DN6050_c0_g1_i2
TRINITY_DN6005_c0_g1_i3,TRINITY_DN6005_c0_g1_i3
TRINITY_DN6012_c0_g1_i1,TRINITY_DN6012_c0_g1_i1
TRINITY_DN6047_c0_g1_i3,TRINITY_DN6047_c0_g1_i3
TRINITY_DN6032_c0_g1_i3,TRINITY_DN6032_c0_g1_i3
TRINITY_DN6074_c0_g1_i1,TRINITY_DN6074_c0_g1_i1
TRINITY_DN6083_c0_g1_i2,TRINITY_DN6083_c0_g1_i2
